                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.33873,                0.26135,                0.77251,                0.56008,                0.31843,                 0.3434,                0.29003,                 0.7503,                 2.1118,                0.82645,              0.0083764,              0.0083764,              0.0083764
                     85,                0.34054,                0.26159,                0.77389,                0.50881,                 0.3131,                0.32993,                0.27186,                0.76762,                 2.0842,                0.82429,              0.0083566,              0.0083566,              0.0083566
                     86,                0.34593,                0.26388,                0.77178,                0.48635,                0.31529,                0.33906,                0.28435,                0.77398,                 2.0956,                0.82543,              0.0083368,              0.0083368,              0.0083368
                     87,                0.33667,                0.25818,                0.77029,                0.56682,                0.31656,                0.35278,                0.29594,                0.77102,                 2.1646,                0.82381,               0.008317,               0.008317,               0.008317
                     88,                0.33439,                0.26249,                0.77104,                0.53731,                0.32254,                0.33832,                 0.2831,                0.76087,                 2.1044,                0.82903,              0.0082972,              0.0082972,              0.0082972
                     89,                 0.3327,                0.25103,                0.77074,                 0.5347,                 0.3078,                0.34151,                0.28515,                0.76955,                 2.2293,                0.83058,              0.0082774,              0.0082774,              0.0082774
                     90,                0.33846,                0.26127,                0.77129,                0.47531,                0.30161,                0.34178,                0.28641,                 0.7544,                 2.1257,                0.82588,              0.0082576,              0.0082576,              0.0082576
                     91,                 0.3314,                0.25221,                0.77092,                0.48957,                0.33291,                0.33774,                 0.2825,                0.76043,                 2.1652,                0.82901,              0.0082378,              0.0082378,              0.0082378
                     92,                0.32522,                0.25107,                0.77192,                0.52079,                0.32713,                0.32968,                0.27201,                0.76589,                 2.2002,                0.83164,               0.008218,               0.008218,               0.008218
                     93,                0.33081,                0.25139,                0.77357,                0.50305,                0.31064,                0.34708,                0.29077,                0.77257,                  2.107,                0.82987,              0.0081982,              0.0081982,              0.0081982
                     94,                0.32693,                0.24142,                0.76872,                0.52039,                0.30961,                0.33704,                0.28549,                0.73742,                 2.2209,                 0.8245,              0.0081784,              0.0081784,              0.0081784
                     95,                0.31933,                0.24768,                 0.7699,                0.50122,                0.32058,                0.35109,                0.29693,                0.74933,                 2.0854,                0.82713,              0.0081586,              0.0081586,              0.0081586
                     96,                0.31445,                 0.2386,                0.77142,                0.51383,                0.32205,                0.35088,                 0.2943,                0.76817,                 2.1274,                0.82902,              0.0081388,              0.0081388,              0.0081388
                     97,                0.31379,                0.24219,                0.77029,                0.48515,                0.30813,                0.34187,                0.28683,                0.75795,                 2.1817,                0.83028,               0.008119,               0.008119,               0.008119
